link,newReference
http://www.wikidot.com/user:info/chrooo,admin
http://dnd5e.wikidot.com/spells:artificer,Artificer Spells
http://dnd5e.wikidot.com/spells:bard,Bard Spells
http://dnd5e.wikidot.com/spells:cleric,Cleric Spells
http://dnd5e.wikidot.com/spells:druid,Druid Spells
http://dnd5e.wikidot.com/spells:paladin,Paladin Spells
http://dnd5e.wikidot.com/spells:ranger,Ranger Spells
http://dnd5e.wikidot.com/spells:sorcerer,Sorcerer Spells
http://dnd5e.wikidot.com/spells:warlock,Warlock Spells
http://dnd5e.wikidot.com/spells:wizard,Wizard Spells
http://dnd5e.wikidot.com/dragonborn,Dragonborn
http://dnd5e.wikidot.com/dwarf,Dwarf
http://dnd5e.wikidot.com/elf,Elf
http://dnd5e.wikidot.com/gnome,Gnome
http://dnd5e.wikidot.com/half-elf,Half-Elf
http://dnd5e.wikidot.com/half-orc,Half-Orc
http://dnd5e.wikidot.com/halfling,Halfling
http://dnd5e.wikidot.com/human,Human
http://dnd5e.wikidot.com/tiefling,Tiefling
http://dnd5e.wikidot.com/bugbear,Bugbear
http://dnd5e.wikidot.com/goblin,Goblin
http://dnd5e.wikidot.com/grung,Grung
http://dnd5e.wikidot.com/hobgoblin,Hobgoblin
http://dnd5e.wikidot.com/kobold,Kobold
http://dnd5e.wikidot.com/lizardfolk,Lizardfolk
http://dnd5e.wikidot.com/minotaur,Minotaur (UA)
http://dnd5e.wikidot.com/orc,Orc
http://dnd5e.wikidot.com/yuan-ti,Yuan-Ti Pureblood
http://dnd5e.wikidot.com/aarakocra,Aarakocra
http://dnd5e.wikidot.com/aasimar,Aasimar
http://dnd5e.wikidot.com/changeling,Changeling
http://dnd5e.wikidot.com/firbolg,Firbolg
http://dnd5e.wikidot.com/genasi,Genasi
http://dnd5e.wikidot.com/gith,Gith
http://dnd5e.wikidot.com/goliath,Goliath
http://dnd5e.wikidot.com/kalashtar,Kalashtar
http://dnd5e.wikidot.com/kenku,Kenku
http://dnd5e.wikidot.com/shifter,Shifter
http://dnd5e.wikidot.com/tabaxi,Tabaxi
http://dnd5e.wikidot.com/tortle,Tortle
http://dnd5e.wikidot.com/triton,Triton
http://dnd5e.wikidot.com/warforged,Warforged
http://dnd5e.wikidot.com/warforged-ua,Warforged (UA)
http://dnd5e.wikidot.com/background:acolyte,Acolyte
http://dnd5e.wikidot.com/background:anthropologist,Anthropologist
http://dnd5e.wikidot.com/background:archaeologist,Archaeologist
http://dnd5e.wikidot.com/background:charlatan,Charlatan
http://dnd5e.wikidot.com/background:city-watch,City Watch
http://dnd5e.wikidot.com/background:clan-crafter,Clan Crafter
http://dnd5e.wikidot.com/background:cloistered-scholar,Cloistered Scholar
http://dnd5e.wikidot.com/background:courtier,Courtier
http://dnd5e.wikidot.com/background:criminal,Criminal
